rank,date,original_transfer_date,date_note,season,club,player,direction,transfer_type,transfer_quality,rumor_count,max_rumor_strength,observed_car_m1_p1,observed_label,heuristic_predicted_car,heuristic_label,confidence,interpretation
230,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Thomas Strakosha,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
231,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Tiago Casasola,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
232,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Luca Pellegrini,in,loan,0.75,0,,-0.006505,neutral,0.015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
233,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Diego González,in,loan,0.675,0,,-0.006505,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
234,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Gonzalo Escalante,out,loan,0.72,0,,-0.006505,neutral,0.0086,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
235,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Riza Durmisi,out,loan,0.72,0,,-0.006505,neutral,0.0086,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
236,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Dimitrije Kamenovic,out,loan,0.67,0,,-0.006505,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
237,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Raúl Moro,out,loan,0.67,0,,-0.006505,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
238,2023-08-16,2023-08-16,exact or source-provided date,2023-24,Lazio,Sergej Milinkovic-Savic,out,permanent,0.58,0,,0.005285,neutral,0.0031,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
239,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Manuel Locatelli,in,loan,0.75,0,,0.005084,neutral,0.015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
240,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Weston McKennie,in,permanent,0.725,0,,0.005084,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
241,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Moise Kean,in,loan,0.7,0,,0.005084,neutral,0.012,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
242,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Cristiano Ronaldo,out,permanent,0.775,0,,0.005084,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
243,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Gianluigi Buffon,out,permanent,0.775,0,,0.005084,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
244,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Kaio Jorge,in,permanent,0.65,0,,0.005084,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
245,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Mohamed Ihattaren,in,permanent,0.65,0,,0.005084,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
246,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Cristian Romero,out,permanent,0.67,0,,0.005084,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
247,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Gianluca Frabotta,out,loan,0.67,0,,0.005084,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
248,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Marko Pjaca,out,loan,0.67,0,,0.005084,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
249,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Merih Demiral,out,loan,0.67,0,,0.005084,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
250,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Mohamed Ihattaren,out,loan,0.67,0,,0.005084,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
251,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Nicolò Fagioli,out,loan,0.67,0,,0.005084,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
252,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Radu Dragusin,out,loan,0.67,0,,0.005084,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
253,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Stefano Gori,out,loan,0.67,0,,0.005084,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
254,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Weston McKennie,out,loan,0.67,0,,0.005084,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
255,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Marin Pongracic,in,loan,0.75,0,,0.002631,neutral,0.015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
256,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Jeremy Toljan,in,loan,0.725,0,,0.002631,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
257,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Marius Wolf,in,loan,0.725,0,,0.002631,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
258,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Sergio Gómez,in,loan,0.675,0,,0.002631,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
259,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Jadon Sancho,out,permanent,0.67,0,,0.002631,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
260,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Jeremy Toljan,out,permanent,0.67,0,,0.002631,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
261,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Sergio Gómez,out,permanent,0.67,0,,0.002631,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
262,2021-06-01,2021-07-01,earliest credible news/article date,2021-22,Borussia Dortmund,Gregor Kobel,in,permanent,0.75,2,0.465,,,0.0133,neutral,0.5593,No observed CAR label yet; heuristic says neutral; 2 matched rumor/news rows.
263,2021-06-06,2021-07-01,earliest credible news/article date,2021-22,Borussia Dortmund,Leonardo Balerdi,in,loan,0.725,2,0.465,,,0.0118,neutral,0.5593,No observed CAR label yet; heuristic says neutral; 2 matched rumor/news rows.
264,2021-06-06,2021-07-01,earliest credible news/article date,2021-22,Borussia Dortmund,Ansgar Knauff,in,permanent,0.65,1,0.517,,,0.0099,neutral,0.5827,No observed CAR label yet; heuristic says neutral; 1 matched rumor/news rows.
265,2021-06-15,2021-07-01,earliest credible news/article date,2021-22,Borussia Dortmund,Immanuel Pherai,in,loan,0.675,2,0.465,,,0.0088,neutral,0.5593,No observed CAR label yet; heuristic says neutral; 2 matched rumor/news rows.
266,2021-06-04,2021-07-01,earliest credible news/article date,2021-22,Manchester United,Joel Pereira,out,permanent,0.67,2,0.517,,,0.0075,neutral,0.5827,No observed CAR label yet; heuristic says neutral; 2 matched rumor/news rows.
267,2021-06-09,2021-07-01,earliest credible news/article date,2021-22,Manchester United,Anthony Elanga,in,permanent,0.65,2,0.465,,,0.0073,neutral,0.5593,No observed CAR label yet; heuristic says neutral; 2 matched rumor/news rows.
268,2021-06-14,2021-07-01,earliest credible news/article date,2021-22,Borussia Dortmund,Thomas Delaney,out,permanent,0.72,2,0.465,,,0.0068,neutral,0.5593,No observed CAR label yet; heuristic says neutral; 2 matched rumor/news rows.
269,2021-06-15,2021-07-01,earliest credible news/article date,2021-22,Borussia Dortmund,Immanuel Pherai,out,permanent,0.67,2,0.465,,,0.0049,neutral,0.5593,No observed CAR label yet; heuristic says neutral; 2 matched rumor/news rows.
270,2021-06-06,2021-07-01,earliest credible news/article date,2021-22,Borussia Dortmund,Leonardo Balerdi,out,permanent,0.67,2,0.465,,,0.0049,neutral,0.5593,No observed CAR label yet; heuristic says neutral; 2 matched rumor/news rows.
